id,osm_type,lon,lat,name,category,subcategory,address,website
1133979977,way,-76.4840432,42.4438798,Bard Hall,building,university,130,
1133979978,way,-76.4777299,42.444068,Schoellkopf Crescent,building,yes,,
1133979979,way,-76.4791337,42.4450354,Schoellkopf House,building,university,,
1133979980,way,-76.4781927,42.4450236,Friends Hall,building,university,,
1133979981,way,-76.4793197,42.4440711,Schoellkopf Pressbox,building,yes,,
1134661130,way,-76.4944594,42.5393644,,leisure,garden,,
1134775349,way,-76.4282695,42.4746313,,amenity,parking,,
1134775354,way,-76.4268428,42.4745148,,amenity,parking,,
1134775359,way,-76.4288221,42.4753746,,amenity,parking,,
1134944438,way,-76.4771485,42.4438216,Fischell Band Center,building,yes,141 Kate Hill Dr,
1144533435,way,-76.467663,42.4539482,,leisure,swimming_pool,,
1148234205,way,-76.4490681,42.4266157,,leisure,swimming_pool,,
1148300953,way,-76.4489853,42.4206898,Eastern Heights Park,leisure,park,,
1148319620,way,-76.4482448,42.4209993,,leisure,playground,,
1151622577,way,-76.4793243,42.4555602,Morrison Dining,amenity,fast_food,18 Sisson Place,
1152605168,way,-76.4526343,42.4215765,,leisure,swimming_pool,,
