id,type,lon,lat,name,category,subcategory,description,location,start_time,end_time,website
trail_431422716,Trail,-76.2327514,42.2767679,Y4,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: dirt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/431422716
trail_469454826,Trail,-76.5173474,42.4601999,Treman Park Lake Loop,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: ground.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/469454826
trail_469523631,Trail,-76.5141504,42.4447636,Taughannock Boulevard,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: concrete.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/469523631
trail_481410520,Trail,-76.5024448,42.5220746,Emilie Jonas Falls Nature Trail,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: ground. Scale: mountain_hiking.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/481410520
trail_495568219,Trail,-76.482526,42.4788316,North Triphammer Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/495568219
trail_495568221,Trail,-76.4826587,42.4764563,Savage Farm Drive,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: asphalt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/495568221
trail_495710995,Trail,-76.4858727,42.4862802,Graham Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: concrete.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/495710995
trail_497709314,Trail,-76.4906903,42.4656479,Highland Road,Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: Unknown surface.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/497709314
trail_503550212,Trail,-76.3376632,42.3392117,B5 (Rim),Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: dirt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/503550212
trail_503550222,Trail,-76.3405755,42.3449509,B2 (Dizzy D),Ithaca Trails,Hiking / Footway,Ithaca Hiking/Walking Trail. Surface: dirt.,Greater Ithaca / Tompkins Area,,,https://www.openstreetmap.org/way/503550222
